"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-08-03","ORL","2","1.3491","1.3642","FCD","0","0.6177","0.6177","2","0.7314","0.7465","2","1.994","0.713"
"2019-08-03","NER","0","0.5458","0.5458","LAFC","2","3.0929","3.0929","-2","-2.5472","-2.5472","-2","0.117","2.811"
"2019-08-03","NYRB","1","3.2056","3.2939","TOR","0","0.8946","0.9178","1","2.311","2.376","2","2.726","0.191"
"2019-08-03","ATL","1","2.6153","2.7551","LAG","0","0.9279","0.9279","1","1.6874","1.8272","3","2.471","0.398"
"2019-07-27","POR","4","2.4781","2.5408","LAG","0","2.1931","2.2415","4","0.2849","0.2993","4","1.589","1.199"
"2019-07-27","SJE","2","1.6267","1.6279","COL","1","1.283","1.283","1","0.3437","0.3449","2","1.635","1.086"
"2019-07-27","HOU","0","1.1154","1.1187","SEA","1","1.2338","1.2338","-1","-0.1184","-0.1151","-1","1.204","1.429"
"2019-07-27","FCD","0","0.5785","0.5785","RSL","0","0.9619","0.9627","0","-0.3833","-0.3842","0","0.976","1.678"
"2019-07-27","CHI","0","1.9586","2.0473","DCU","0","0.5712","0.5724","0","1.3874","1.4749","0","2.424","0.399"
"2019-07-27","TOR","2","0.8045","0.8107","CIN","1","0.695","0.695","1","0.1095","0.1157","1","1.374","1.26"
"2019-07-27","MTL","4","2.0126","2.0126","PHI","0","0.8227","0.8255","4","1.1899","1.1871","4","2.28","0.528"
"2019-07-27","MIN","0","1.6027","1.6109","VAN","0","0.3448","0.3486","0","1.258","1.2623","0","2.363","0.425"
"2019-07-27","NYRB","2","2.0461","2.0461","CLB","3","1.6682","1.7177","-1","0.3779","0.3284","-1","1.725","1.053"
"2019-07-27","NER","4","2.4305","2.6437","ORL","1","2.1326","2.134","3","0.2979","0.5097","3","1.516","1.258"
"2019-07-26","LAFC","4","2.0332","2.0332","ATL","2","1.3725","1.3725","2","0.6608","0.6608","1","1.952","0.833"
"2019-07-26","NYC","3","1.9264","1.9301","SKC","1","2.052","2.0702","2","-0.1256","-0.14","2","1.304","1.451"
"2019-07-21","SEA","1","2.7854","2.7854","POR","2","2.3447","2.4609","-1","0.4406","0.3245","-1","1.732","1.075"
"2019-07-21","ORL","0","1.3301","1.4496","NYRB","1","1.7379","1.7379","-1","-0.4077","-0.2883","-1","1.099","1.663"
"2019-07-21","CIN","0","0.8647","0.8812","NER","2","1.8769","1.9062","-2","-1.0122","-1.025","-2","0.668","2.123"
"2019-07-21","ATL","2","2.9862","2.9862","DCU","0","0.9733","0.9733","2","2.0129","2.0129","2","2.609","0.272"
"2019-07-20","VAN","1","0.5332","0.5332","SJE","3","2.6137","2.643","-2","-2.0805","-2.1098","-2","0.23","2.666"
"2019-07-20","RSL","1","0.5061","0.5061","MIN","1","1.0012","1.0427","0","-0.4952","-0.5366","0","0.678","1.992"
"2019-07-20","COL","1","1.488","1.488","NYC","2","2.9234","2.996","-1","-1.4354","-1.508","-1","0.595","2.218"
