"Player","Team","Season","MinutesIncludes stoppage time.","Shots","SoTShots on Target","GGoals","xGxGoals","xPlaceDifference between post- and pre-shot xG models.","G-xG","KeyPKey Passes","APrimary Assists","xAxAssists","A-xA","xG+xA","PAExpected points added through scoring goals.","xPAExpected points added through taking shots."
"Darlington Nagbe","POR","2014","2922","6","3","0","1.1985","-0.6147","-1.1985","3","0","0.1784","-0.1784","1.377","0","0.9403"
"Jairo Arrieta","CLB","2014","1344","4","3","2","1.0559","0.0905","0.944","2","0","0.3185","-0.3185","1.3744","0.9244","0.5294"
"Marco Di Vaio","MTL","2014","1890","7","2","1","0.9318","0.1207","0.0682","1","1","0.4393","0.5607","1.3711","0.9659","0.6107"
"Vincent Nogueira","PHI","2014","2666","3","2","1","0.4193","0.5309","0.5807","4","2","0.9167","1.0833","1.336","0.6875","0.2155"
"Fabián Espíndola","DCU","2014","2284","6","4","2","0.8625","0.1628","1.1375","1","1","0.4092","0.5908","1.2716","0.7699","0.2857"
"Sebastien Le Toux","PHI","2014","2193","3","2","1","0.7233","0.2839","0.2767","3","2","0.5113","1.4887","1.2346","0.9749","0.5608"
"Blas Pérez","FCD","2014","2254","2","1","1","0.4599","0.3794","0.5401","4","1","0.7106","0.2894","1.1706","0.5173","0.264"
"Robbie Keane","LAG","2014","2734","5","2","1","1.158","-0.1899","-0.158","0","0","0","0","1.158","0.6858","0.4603"
"Tesho Akindele","FCD","2014","1876","1","1","1","0.5508","0.4097","0.4492","2","1","0.5934","0.4066","1.1442","0.1999","0.1101"
"Rodney Wallace","POR","2014","1145","3","2","0","0.6465","-0.4827","-0.6465","2","0","0.4765","-0.4765","1.123","0","0.4434"
"Fabian Castillo","FCD","2014","2467","6","4","1","0.9177","0.277","0.0823","1","0","0.1541","-0.1541","1.0718","0.0155","0.2068"
"Darren Mattocks","VAN","2014","1970","3","2","2","0.829","-0.208","1.171","1","0","0.2109","-0.2109","1.0399","0.9633","0.4366"
"Cristián Maidana","PHI","2014","1981","1","1","0","0.471","0.1309","-0.471","2","0","0.5214","-0.5214","0.9924","0","0.3136"
