"Player","Team","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"Luis Silva","RSL","-0.0947","0.0172","0.0777","-0.0213","0.1872","0.0991","0.2652"
"Joao Plata","RSL","0.3736","0.249","-0.3806","-0.209","0.0762","0.1532","0.2624"
"Roger Espinoza","SKC","0.3473","-0.0665","0.1653","0.3044","-0.2646","-0.2253","0.2606"
"Dairon Asprilla","POR","0.4067","-0.1344","0.1541","0.1738","-0.0919","-0.2563","0.252"
"Jeb Brovsky","NYC","-0.0357","0.0202","0.0684","-0.0817","0.0638","0.212","0.247"
"Clement Simonin","TOR","0.0904","0.0221","0.165","-0.0019","-0.0086","-0.0213","0.2457"
"Eric Miller","MTL","0.0724","0.0211","0.3637","-0.1502","0.0071","-0.0688","0.2453"
"Ike Opara","SKC","0.098","0.0469","-0.3561","-0.1397","0.5437","0.0404","0.2332"
"Will Bruin","HOU","-0.466","-0.1997","0.0393","-0.29","0.646","0.4988","0.2284"
"Chris Wingert","NYC","-0.1734","0.0496","-0.2738","0.736","-0.0634","-0.0554","0.2196"
"Saad Abdul-Salaam","SKC","0.084","0.113","0.2897","-0.3146","0.0309","0.0062","0.2092"
"Gastón Sauro","CLB","-0.0386","0.0439","0.2604","-0.0695","0.026","-0.0211","0.2011"
"Jordan Smith","VAN","0.082","-0.0876","0.0258","0.1984","-0.0073","-0.0139","0.1974"
"Phanuel Kavita","RSL","-0.01","-0.0148","-0.0781","-0.0024","0.19","0.0963","0.181"
"Kennedy Igboananike","CHI","0.0018","0.3427","-0.0777","-0.1419","0.1293","-0.0811","0.1731"
"Manolo Sánchez","NYRB","0.0415","-0.0023","-0.1517","0.0143","0.0437","0.2182","0.1637"
"Gonzalo Pineda","SEA","0.032","-0.0222","0.2308","0.4808","-0.4563","-0.1033","0.1618"
"Charlie Davies","NER","-0.5329","0.0318","-0.3888","-0.7436","1.9904","-0.199","0.1579"
"Chris Klute","CLB","0.1555","-0.2851","0.3962","-0.1137","0.0107","-0.0125","0.1511"
"Rasheed Olabiyi","HOU","0.0155","-0.2983","0.4876","-0.0739","-0.0072","0.0263","0.15"
"Jeanderson","POR","0.0612","0.0024","0.0232","0.0839","-0.0205","-0.0027","0.1475"
"Amobi Okugo","SKC","-0.0031","0.0091","0.0986","0.0704","-0.0275","-0.0035","0.144"
"Andoni Iraola","NYC","0.1991","-0.0416","0.327","-0.3136","-0.0787","0.0388","0.131"
"Cameron Porter","MTL","0.0297","-0.0111","0.0124","0.0022","0.043","0.0511","0.1273"
"Tommy Thompson","SJE","-0.0923","-0.2413","0.3441","-0.3885","0.2627","0.241","0.1257"
"Nicolás Mezquida","VAN","0.086","-0.0459","0.119","-0.2515","-0.0075","0.2207","0.1208"
"Oscar Sorto","LAG","0.0339","0.0063","0.2558","-0.1279","-0.0287","-0.0231","0.1163"
"Frank Lampard","NYC","-0.3681","0.1741","0.0926","-0.6057","0.5488","0.2712","0.1129"
"Deybi Flores","VAN","-0.0069","0.033","0.4116","-0.1889","-0.1659","0.0293","0.1122"
"Christian Dean","VAN","-0.0858","0.0083","0.0655","0.0233","0.0712","0.0286","0.1111"
"Marco Bustos","VAN","0.0878","-0.0032","-0.0099","0.0135","-0.0038","0.0214","0.1058"
"Jonathan Osorio","TOR","-0.6515","0.0145","0.6755","-0.0149","-0.0108","0.0929","0.1057"
"Marius Obekop","NYRB","0.0085","-0.0009","-0.0051","0.0817","0.0232","-0.0022","0.1052"
"Tommy McNamara","NYC","-0.0458","0.2315","0.1984","-0.1167","-0.2595","0.0914","0.0993"
"Demar Phillips","RSL","-0.5545","0.1273","0.3276","0.4054","-0.1113","-0.0966","0.0979"
"Gilberto","CHI","0.1166","-0.1112","-0.1033","0.0867","-0.1166","0.2219","0.0941"
"Connor Brandt","NYC","0.0037","0.0014","0.0649","0.0228","-0.0033","-0.0001","0.0894"
"Kaká","ORL","0.2826","0.2748","-0.2229","0.2605","-0.6166","0.1097","0.0881"
"Sergio Campbell","CLB","0.0369","0.0099","0.0344","-0.0144","0.1114","-0.0901","0.0881"
"Nathan Sturgis","HOU","-0.037","0.1488","-0.3559","0.1208","0.123","0.0877","0.0874"
"Leonardo González","SEA","-0.0547","-0.0021","-0.1669","0.4244","-0.1005","-0.0156","0.0846"
"Rolando Escobar","FCD","-0.0491","-0.0337","0.0369","0.4141","-0.2819","-0.0042","0.0821"
"Andy Craven","SEA","0.1164","-0.0124","-0.0155","-0.045","-0.069","0.1071","0.0816"
"Chad Barrett","SEA","-0.8541","-0.0695","0.0071","-0.2255","0.8461","0.3769","0.081"
"Tommy Redding","ORL","0.0108","0.0102","0.0672","0.0138","-0.0228","-0.0007","0.0785"
"Ethen Sampson","VAN","0.0052","0.0043","0.0924","-0.0028","-0.02","-0.0009","0.0782"
"Martin Paterson","ORL","-0.016","0.0091","0.0436","-0.0026","0.0249","0.0073","0.0663"
"Sean St Ledger","COL","0.0446","0.0525","-0.4154","0.3829","0.0573","-0.0585","0.0634"
"Taylor Peay","POR","-0.0863","-0.0031","0.2587","-0.0693","-0.0459","-0.0006","0.0535"
"Tyson Wahl","CLB","0.1501","0.0923","0.1729","-0.0192","-0.3178","-0.0268","0.0515"
"Dominic Oduro","MTL","1.0442","0.1148","-0.2554","-0.7062","-0.1667","0.0194","0.0501"
"Pedro Morales","VAN","-0.8439","-0.1868","0.23","0.2467","0.1864","0.4176","0.0500000000000001"
"Pablo Álvarez","NYC","0.0387","-0.0054","0.0246","0.1298","-0.1138","-0.0241","0.0498"
"Jared Jeffrey","DCU","0.0119","-0.0357","0.1272","-0.0329","-0.0181","-0.0098","0.0426"
"Marco Donadel","MTL","0.0461","-0.1037","0.6283","-0.1067","-0.4512","0.023","0.0358"
"Patrick Mullins","NYC","0.0921","0.1851","-0.0545","-0.3484","0.404","-0.2448","0.0335"
"George Fochive","POR","0.0461","0.0445","0.4042","-0.2327","-0.2475","0.0166","0.0312"
"Josh Williams","NYC","0.1249","-0.0153","-0.132","-0.0886","0.1223","0.0169","0.0282"
"Darrius Barnes","NER","-0.0738","0.0274","-0.0943","0.0179","0.1666","-0.0189","0.0249"
"Jay Chapman","TOR","-0.0569","-0.0161","0.2915","-0.0085","-0.1253","-0.0678","0.0169"
"Todd Dunivant","LAG","-0.0095","-0.0246","0.0311","0.0397","-0.0198","-0.0016","0.0153"
"Angeliño","NYC","0.1349","-0.2971","0.4544","-0.1813","-0.067","-0.0324","0.0115000000000001"
"Collen Warner","TOR","-0.0799","-0.0014","0.1244","0.0033","0.0817","-0.1201","0.00799999999999999"
"Jordi Quintillà","SKC","0.0467","0.0293","-0.0499","0.0326","-0.0653","0.0121","0.0055"
"Coy Craft","FCD","0.1735","-0.0068","-0.0221","-0.074","-0.0252","-0.0466","-0.00120000000000001"
"Collin Fernandez","CHI","0.0015","-0.0015","0.0117","0.0149","-0.0234","-0.005","-0.0018"
"Jimmy McLaughlin","PHI","0.0021","0.0002","-0.0042","-0.0026","0.0028","-0.0002","-0.0019"
"Facundo Coria","DCU","0.1957","-0.0225","-0.0316","0.1319","-0.2138","-0.0658","-0.00609999999999999"
"Zach Loyd","FCD","0.2399","-0.2867","0.7407","-0.2347","-0.4183","-0.0472","-0.00629999999999998"
"Kofi Opare","DCU","-0.2397","0.0883","0.335","-0.3592","0.1909","-0.0241","-0.00880000000000001"
"Pecka","RSL","-0.0409","0.0053","0.0562","0.0113","-0.0342","-0.0069","-0.0092"
"Carlos Alvarez","COL","-0.0076","-0.001","-0.0393","0.0199","0.0095","0.0082","-0.0103"
"Jimmy Ockford","SEA","-0.0025","0.01","0.002","-0.0009","-0.0208","-0.0007","-0.0129"
"David Mateos","ORL","0.0618","-0.1795","0.2964","-0.3562","0.1448","0.0179","-0.0148"
"Michael Nanchoff","POR","0.0456","-0.0501","0.0012","-0.0048","-0.0158","0.0081","-0.0158"
"Conor Donovan","ORL","0.006","-0.0095","-0.0135","0.0031","-0.0031","-0.0001","-0.0171"
"Ariel Lassiter","LAG","-0.0021","0.0008","-0.016","-0.0041","-0.0068","0.0107","-0.0175"
"Richie Marquez","PHI","-0.1852","0.2112","0.2931","-0.5358","0.1533","0.0456","-0.0178"
"Alex","CHI","-0.0023","0.0092","-0.009","-0.0056","-0.0089","-0.0035","-0.0201"
"Anthony Jackson-Hamel","MTL","-0.0297","-0.0256","-0.0143","0.011","0.0887","-0.052","-0.0219"
"Víctor Pérez","CHI","-0.0015","-0.0059","-0.0062","-0.0099","-0.0026","-0.0007","-0.0268"
"Tranquillo Barnetta","PHI","-0.1269","-0.2234","0.2114","0.1791","-0.0263","-0.0428","-0.0289"
"Jordan Hamilton","TOR","0.0078","-0.0013","-0.0036","-0.0157","-0.0132","-0.0045","-0.0305"
"Román Torres","SEA","-0.1282","-0.2057","0.0569","0.2338","0.007","0.0009","-0.0353"
"Darren Mattocks","VAN","0.037","-0.1146","-0.0549","-0.013","0.1618","-0.0524","-0.0361"
"Raymond Lee","PHI","-0.0053","-0.001","-0.0194","-0.0086","-0.0025","-0.0002","-0.037"
"Ethan White","PHI","-0.1264","0.0478","0.5588","-0.3104","-0.2054","-0.0063","-0.0419000000000001"
"Bright Dike","TOR","0.0007","-0.0031","-0.0116","0.0313","-0.0476","-0.0144","-0.0447"
"Víctor Cabrera","MTL","-0.0696","0.0193","0.6423","-0.2618","-0.3585","-0.0165","-0.0448"
"Brian Carroll","PHI","-0.161","0.0677","0.6986","-0.4735","-0.2935","0.1141","-0.0476"
"Mike Fucito","SJE","0.0000092412","-0.0015","-0.004","0.0037","-0.0412","-0.005","-0.0479907588"
